!MOLECULE
OCS
!MOLECULAR WEIGHT
60.0
!NUMBER OF ENERGY LEVELS
99
!LEVEL + ENERGIES(cm^-1) + WEIGHT + J
 1000    46    10  1.8e-16 1.3e-16 6.9e-17 5.9e-17 6.4e-17 7.0e-17 6.4e-17 7.1e-17
 1001    46    11  2.7e-16 2.0e-16 1.1e-16 9.2e-17 9.9e-17 1.1e-16 1.0e-16 1.1e-16
 1002    46    12  4.0e-16 2.9e-16 1.6e-16 1.4e-16 1.5e-16 1.7e-16 1.6e-16 1.7e-16
 1003    46    13  5.8e-16 4.4e-16 2.5e-16 2.2e-16 2.4e-16 2.6e-16 2.4e-16 2.7e-16
 1004    46    14  8.6e-16 6.6e-16 3.9e-16 3.4e-16 3.6e-16 4.0e-16 3.7e-16 4.1e-16
 1005    46    15  1.3e-15 9.8e-16 5.9e-16 5.2e-16 5.6e-16 6.1e-16 5.7e-16 6.3e-16
 1006    46    16  1.8e-15 1.5e-15 8.9e-16 7.9e-16 8.5e-16 9.2e-16 8.7e-16 9.7e-16
 1007    46    17  2.7e-15 2.1e-15 1.4e-15 1.2e-15 1.3e-15 1.4e-15 1.3e-15 1.5e-15
 1008    46    18  3.9e-15 3.2e-15 2.1e-15 1.8e-15 2.0e-15 2.1e-15 2.0e-15 2.3e-15
 1009    46    19  5.7e-15 4.7e-15 3.1e-15 2.8e-15 3.0e-15 3.2e-15 3.1e-15 3.5e-15
 1010    46    20  8.3e-15 6.9e-15 4.7e-15 4.3e-15 4.5e-15 4.9e-15 4.7e-15 5.3e-15
 1011    46    21  1.2e-14 1.0e-14 7.0e-15 6.4e-15 6.8e-15 7.4e-15 7.2e-15 8.0e-15
 1012    46    22  1.7e-14 1.5e-14 1.1e-14 9.7e-15 1.0e-14 1.1e-14 1.1e-14 1.2e-14
 1013    46    23  2.5e-14 2.2e-14 1.6e-14 1.5e-14 1.6e-14 1.7e-14 1.6e-14 1.8e-14
 1014    46    24  3.6e-14 3.2e-14 2.4e-14 2.2e-14 2.4e-14 2.5e-14 2.5e-14 2.8e-14
 1015    46    25  5.2e-14 4.7e-14 3.6e-14 3.3e-14 3.5e-14 3.7e-14 3.7e-14 4.2e-14
 1016    46    26  7.5e-14 6.9e-14 5.3e-14 5.0e-14 5.3e-14 5.6e-14 5.6e-14 6.3e-14
 1017    46    27  1.1e-13 1.0e-13 7.9e-14 7.5e-14 7.9e-14 8.4e-14 8.5e-14 9.5e-14
 1018    46    28  1.5e-13 1.5e-13 1.2e-13 1.1e-13 1.2e-13 1.2e-13 1.3e-13 1.4e-13
 1019    46    29  2.2e-13 2.1e-13 1.7e-13 1.7e-13 1.8e-13 1.9e-13 1.9e-13 2.1e-13
 1020    46    30  3.2e-13 3.1e-13 2.6e-13 2.5e-13 2.6e-13 2.8e-13 2.8e-13 3.2e-13
 1021    46    31  4.5e-13 4.5e-13 3.8e-13 3.7e-13 3.9e-13 4.1e-13 4.2e-13 4.7e-13
 1022    46    32  6.4e-13 6.4e-13 5.6e-13 5.5e-13 5.8e-13 6.1e-13 6.3e-13 7.0e-13
 1023    46    33  9.2e-13 9.3e-13 8.3e-13 8.1e-13 8.6e-13 8.9e-13 9.3e-13 1.0e-12
 1024    46    34  2.0e-12 1.9e-12 1.7e-12 1.6e-12 1.7e-12 1.8e-12 1.9e-12 2.3e-12
 1025    46    35  5.0e-12 5.6e-12 5.6e-12 5.3e-12 5.4e-12 5.1e-12 4.9e-12 5.0e-12
 1026    46    36  3.7e-12 4.0e-12 3.9e-12 4.0e-12 4.2e-12 4.6e-12 5.3e-12 6.6e-12
 1027    46    37  5.5e-12 6.0e-12 5.8e-12 5.6e-12 5.6e-12 5.4e-12 5.0e-12 4.9e-12
 1028    46    38  6.1e-12 7.0e-12 7.5e-12 8.3e-12 9.0e-12 9.9e-12 1.3e-11 1.7e-11
 1029    46    39  7.1e-12 7.4e-12 7.3e-12 6.9e-12 7.3e-12 7.1e-12 6.7e-12 6.4e-12
 1030    46    40  1.2e-11 1.4e-11 1.6e-11 1.8e-11 2.0e-11 2.1e-11 2.7e-11 3.5e-11
 1031    46    41  1.2e-11 1.3e-11 1.4e-11 1.5e-11 1.5e-11 1.6e-11 1.7e-11 1.8e-11
 1032    46    42  4.0e-11 4.4e-11 4.8e-11 4.8e-11 4.9e-11 5.0e-11 5.9e-11 7.2e-11
 1033    46    43  1.8e-11 2.4e-11 3.2e-11 3.4e-11 3.7e-11 3.7e-11 4.2e-11 5.0e-11
 1034    46    44  1.0e-10 1.2e-10 1.3e-10 1.3e-10 1.3e-10 1.3e-10 1.4e-10 1.7e-10
 1035    46    45  5.7e-11 6.4e-11 6.9e-11 7.2e-11 7.3e-11 7.4e-11 7.8e-11 8.3e-11
 1036    47     1  1.0e-18 6.5e-19 2.8e-19 2.3e-19 2.5e-19 2.8e-19 2.4e-19 2.6e-19
 1037    47     2  3.3e-18 2.1e-18 9.1e-19 7.4e-19 8.0e-19 9.0e-19 7.7e-19 8.6e-19
 1038    47     3  6.2e-18 3.9e-18 1.7e-18 1.4e-18 1.5e-18 1.7e-18 1.5e-18 1.7e-18
 1039    47     4  1.0e-17 6.5e-18 3.0e-18 2.4e-18 2.6e-18 3.0e-18 2.6e-18 2.8e-18
 1040    47     5  1.6e-17 1.0e-17 4.8e-18 4.0e-18 4.3e-18 4.8e-18 4.2e-18 4.7e-18
 1041    47     6  2.5e-17 1.6e-17 7.7e-18 6.4e-18 6.9e-18 7.7e-18 6.8e-18 7.6e-18
 1042    47     7  3.7e-17 2.5e-17 1.2e-17 1.0e-17 1.1e-17 1.2e-17 1.1e-17 1.2e-17
 1043    47     8  5.6e-17 3.8e-17 1.9e-17 1.6e-17 1.7e-17 1.9e-17 1.7e-17 1.9e-17
 1044    47     9  8.4e-17 5.8e-17 3.0e-17 2.5e-17 2.7e-17 3.0e-17 2.7e-17 3.0e-17
 1045    47    10  1.3e-16 8.8e-17 4.6e-17 4.0e-17 4.3e-17 4.7e-17 4.3e-17 4.7e-17
 1046    47    11  1.8e-16 1.3e-16 7.2e-17 6.1e-17 6.6e-17 7.3e-17 6.6e-17 7.4e-17
 1047    47    12  2.7e-16 2.0e-16 1.1e-16 9.5e-17 1.0e-16 1.1e-16 1.0e-16 1.1e-16
 1048    47    13  4.0e-16 3.0e-16 1.7e-16 1.5e-16 1.6e-16 1.7e-16 1.6e-16 1.8e-16
 1049    47    14  5.9e-16 4.5e-16 2.6e-16 2.3e-16 2.4e-16 2.7e-16 2.5e-16 2.7e-16
 1050    47    15  8.7e-16 6.7e-16 3.9e-16 3.5e-16 3.7e-16 4.1e-16 3.8e-16 4.2e-16
 1051    47    16  1.3e-15 9.9e-16 6.0e-16 5.3e-16 5.7e-16 6.2e-16 5.8e-16 6.5e-16
 1052    47    17  1.9e-15 1.5e-15 9.1e-16 8.1e-16 8.6e-16 9.4e-16 8.9e-16 9.9e-16
 1053    47    18  2.7e-15 2.2e-15 1.4e-15 1.2e-15 1.3e-15 1.4e-15 1.4e-15 1.5e-15
 1054    47    19  3.9e-15 3.2e-15 2.1e-15 1.9e-15 2.0e-15 2.2e-15 2.1e-15 2.3e-15
 1055    47    20  5.7e-15 4.8e-15 3.1e-15 2.8e-15 3.0e-15 3.3e-15 3.1e-15 3.5e-15
 1056    47    21  8.3e-15 7.0e-15 4.7e-15 4.3e-15 4.6e-15 4.9e-15 4.8e-15 5.3e-15
 1057    47    22  1.2e-14 1.0e-14 7.1e-15 6.5e-15 6.9e-15 7.5e-15 7.3e-15 8.1e-15
 1058    47    23  1.7e-14 1.5e-14 1.1e-14 9.8e-15 1.0e-14 1.1e-14 1.1e-14 1.2e-14
 1059    47    24  2.5e-14 2.2e-14 1.6e-14 1.5e-14 1.6e-14 1.7e-14 1.7e-14 1.9e-14
 1060    47    25  3.6e-14 3.2e-14 2.4e-14 2.2e-14 2.4e-14 2.5e-14 2.5e-14 2.8e-14
 1061    47    26  5.2e-14 4.7e-14 3.6e-14 3.4e-14 3.6e-14 3.8e-14 3.8e-14 4.2e-14
 1062    47    27  7.5e-14 6.9e-14 5.3e-14 5.0e-14 5.3e-14 5.6e-14 5.7e-14 6.3e-14
 1063    47    28  1.1e-13 1.0e-13 7.9e-14 7.5e-14 8.0e-14 8.4e-14 8.5e-14 9.5e-14
 1064    47    29  1.5e-13 1.5e-13 1.2e-13 1.1e-13 1.2e-13 1.3e-13 1.3e-13 1.4e-13
 1065    47    30  2.2e-13 2.1e-13 1.8e-13 1.7e-13 1.8e-13 1.9e-13 1.9e-13 2.1e-13
 1066    47    31  3.2e-13 3.1e-13 2.6e-13 2.5e-13 2.6e-13 2.8e-13 2.8e-13 3.2e-13
 1067    47    32  4.5e-13 4.4e-13 3.8e-13 3.7e-13 3.9e-13 4.1e-13 4.2e-13 4.7e-13
 1068    47    33  6.4e-13 6.4e-13 5.7e-13 5.5e-13 5.8e-13 6.1e-13 6.3e-13 7.1e-13
 1069    47    34  9.1e-13 9.2e-13 8.3e-13 8.1e-13 8.6e-13 9.0e-13 9.4e-13 1.0e-12
 1070    47    35  2.0e-12 1.9e-12 1.7e-12 1.6e-12 1.7e-12 1.8e-12 1.9e-12 2.3e-12
 1071    47    36  4.9e-12 5.6e-12 5.6e-12 5.3e-12 5.4e-12 5.2e-12 4.9e-12 5.0e-12
 1072    47    37  3.7e-12 4.0e-12 3.9e-12 4.0e-12 4.2e-12 4.6e-12 5.4e-12 6.6e-12
 1073    47    38  5.5e-12 5.9e-12 5.8e-12 5.6e-12 5.6e-12 5.4e-12 5.0e-12 4.9e-12
 1074    47    39  6.0e-12 7.0e-12 7.5e-12 8.3e-12 9.0e-12 9.9e-12 1.3e-11 1.7e-11
 1075    47    40  7.1e-12 7.4e-12 7.3e-12 6.9e-12 7.3e-12 7.2e-12 6.7e-12 6.4e-12
 1076    47    41  1.2e-11 1.4e-11 1.6e-11 1.8e-11 2.0e-11 2.1e-11 2.7e-11 3.5e-11
 1077    47    42  1.2e-11 1.3e-11 1.4e-11 1.5e-11 1.5e-11 1.6e-11 1.7e-11 1.8e-11
 1078    47    43  4.0e-11 4.4e-11 4.8e-11 4.8e-11 4.9e-11 5.0e-11 5.9e-11 7.2e-11
 1079    47    44  1.8e-11 2.3e-11 3.2e-11 3.4e-11 3.7e-11 3.7e-11 4.2e-11 5.0e-11
 1080    47    45  1.0e-10 1.2e-10 1.3e-10 1.3e-10 1.3e-10 1.3e-10 1.4e-10 1.7e-10
 1081    47    46  5.7e-11 6.3e-11 6.9e-11 7.2e-11 7.3e-11 7.4e-11 7.8e-11 8.3e-11
 1082    48     1  7.1e-19 4.4e-19 1.9e-19 1.5e-19 1.6e-19 1.9e-19 1.6e-19 1.8e-19
 1083    48     2  2.3e-18 1.4e-18 6.1e-19 4.9e-19 5.3e-19 6.0e-19 5.1e-19 5.7e-19
 1084    48     3  4.2e-18 2.7e-18 1.2e-18 9.4e-19 1.0e-18 1.2e-18 9.9e-19 1.1e-18
 1085    48     4  7.0e-18 4.4e-18 2.0e-18 1.6e-18 1.7e-18 2.0e-18 1.7e-18 1.9e-18
 1086    48     5  1.1e-17 7.1e-18 3.2e-18 2.7e-18 2.9e-18 3.2e-18 2.8e-18 3.1e-18
 1087    48     6  1.7e-17 1.1e-17 5.2e-18 4.3e-18 4.6e-18 5.2e-18 4.5e-18 5.0e-18
 1088    48     7  2.6e-17 1.7e-17 8.2e-18 6.8e-18 7.3e-18 8.2e-18 7.2e-18 8.0e-18
 1089    48     8  3.8e-17 2.6e-17 1.3e-17 1.1e-17 1.2e-17 1.3e-17 1.2e-17 1.3e-17
 1090    48     9  5.8e-17 4.0e-17 2.0e-17 1.7e-17 1.8e-17 2.0e-17 1.8e-17 2.0e-17
 1091    48    10  8.6e-17 6.0e-17 3.1e-17 2.6e-17 2.8e-17 3.1e-17 2.8e-17 3.1e-17
 1092    48    11  1.3e-16 9.1e-17 4.8e-17 4.1e-17 4.4e-17 4.9e-17 4.4e-17 4.9e-17
 1093    48    12  1.9e-16 1.4e-16 7.4e-17 6.3e-17 6.8e-17 7.5e-17 6.8e-17 7.6e-17
 1094    48    13  2.8e-16 2.1e-16 1.1e-16 9.7e-17 1.1e-16 1.1e-16 1.1e-16 1.2e-16
 1095    48    14  4.1e-16 3.1e-16 1.7e-16 1.5e-16 1.6e-16 1.8e-16 1.6e-16 1.8e-16
 1096    48    15  6.0e-16 4.6e-16 2.6e-16 2.3e-16 2.5e-16 2.7e-16 2.5e-16 2.8e-16
 1097    48    16  8.8e-16 6.8e-16 4.0e-16 3.5e-16 3.8e-16 4.1e-16 3.9e-16 4.3e-16
 1098    48    17  1.3e-15 1.0e-15 6.1e-16 5.4e-16 5.8e-16 6.3e-16 5.9e-16 6.6e-16
 1099    48    18  1.9e-15 1.5e-15 9.2e-16 8.2e-16 8.8e-16 9.5e-16 9.0e-16 1.0e-15
 1100    48    19  2.7e-15 2.2e-15 1.4e-15 1.2e-15 1.3e-15 1.5e-15 1.4e-15 1.5e-15
 1101    48    20  3.9e-15 3.2e-15 2.1e-15 1.9e-15 2.0e-15 2.2e-15 2.1e-15 2.3e-15
 1102    48    21  5.7e-15 4.8e-15 3.2e-15 2.9e-15 3.1e-15 3.3e-15 3.2e-15 3.6e-15
 1103    48    22  8.3e-15 7.0e-15 4.8e-15 4.3e-15 4.6e-15 5.0e-15 4.8e-15 5.4e-15
 1104    48    23  1.2e-14 1.0e-14 7.2e-15 6.6e-15 7.0e-15 7.5e-15 7.3e-15 8.2e-15
 1105    48    24  1.7e-14 1.5e-14 1.1e-14 9.9e-15 1.0e-14 1.1e-14 1.1e-14 1.2e-14
 1106    48    25  2.5e-14 2.2e-14 1.6e-14 1.5e-14 1.6e-14 1.7e-14 1.7e-14 1.9e-14
 1107    48    26  3.6e-14 3.2e-14 2.4e-14 2.2e-14 2.4e-14 2.5e-14 2.5e-14 2.8e-14
 1108    48    27  5.2e-14 4.7e-14 3.6e-14 3.4e-14 3.6e-14 3.8e-14 3.8e-14 4.3e-14
 1109    48    28  7.4e-14 6.9e-14 5.3e-14 5.0e-14 5.3e-14 5.7e-14 5.7e-14 6.4e-14
 1110    48    29  1.1e-13 1.0e-13 8.0e-14 7.5e-14 8.0e-14 8.5e-14 8.6e-14 9.6e-14
 1111    48    30  1.5e-13 1.5e-13 1.2e-13 1.1e-13 1.2e-13 1.3e-13 1.3e-13 1.4e-13
 1112    48    31  2.2e-13 2.1e-13 1.8e-13 1.7e-13 1.8e-13 1.9e-13 1.9e-13 2.1e-13
 1113    48    32  3.1e-13 3.1e-13 2.6e-13 2.5e-13 2.6e-13 2.8e-13 2.9e-13 3.2e-13
 1114    48    33  4.5e-13 4.4e-13 3.8e-13 3.7e-13 3.9e-13 4.1e-13 4.3e-13 4.8e-13
 1115    48    34  6.3e-13 6.4e-13 5.7e-13 5.5e-13 5.8e-13 6.1e-13 6.3e-13 7.1e-13
 1116    48    35  9.0e-13 9.2e-13 8.3e-13 8.2e-13 8.6e-13 9.0e-13 9.4e-13 1.0e-12
 1117    48    36  2.0e-12 1.9e-12 1.7e-12 1.6e-12 1.7e-12 1.8e-12 1.9e-12 2.3e-12
 1118    48    37  4.9e-12 5.6e-12 5.6e-12 5.3e-12 5.4e-12 5.2e-12 4.9e-12 5.0e-12
 1119    48    38  3.7e-12 4.0e-12 3.9e-12 4.0e-12 4.2e-12 4.6e-12 5.4e-12 6.6e-12
 1120    48    39  5.4e-12 5.9e-12 5.8e-12 5.6e-12 5.6e-12 5.4e-12 5.1e-12 4.9e-12
 1121    48    40  6.0e-12 7.0e-12 7.5e-12 8.3e-12 9.0e-12 9.9e-12 1.3e-11 1.7e-11
 1122    48    41  7.0e-12 7.4e-12 7.3e-12 6.9e-12 7.3e-12 7.2e-12 6.7e-12 6.4e-12
 1123    48    42  1.2e-11 1.4e-11 1.6e-11 1.8e-11 2.0e-11 2.1e-11 2.7e-11 3.5e-11
 1124    48    43  1.1e-11 1.3e-11 1.4e-11 1.5e-11 1.5e-11 1.6e-11 1.7e-11 1.8e-11
 1125    48    44  3.9e-11 4.3e-11 4.7e-11 4.8e-11 4.9e-11 5.0e-11 5.9e-11 7.2e-11
 1126    48    45  1.8e-11 2.3e-11 3.2e-11 3.4e-11 3.7e-11 3.7e-11 4.2e-11 5.0e-11
 1127    48    46  1.0e-10 1.2e-10 1.2e-10 1.3e-10 1.3e-10 1.3e-10 1.4e-10 1.7e-10
 1128    48    47  5.6e-11 6.3e-11 6.9e-11 7.2e-11 7.3e-11 7.4e-11 7.8e-11 8.3e-11
 1129    49     1  4.9e-19 3.0e-19 1.3e-19 1.0e-19 1.1e-19 1.2e-19 1.0e-19 1.2e-19
 1130    49     2  1.6e-18 9.6e-19 4.0e-19 3.2e-19 3.5e-19 4.0e-19 3.4e-19 3.8e-19
 1131    49     3  2.9e-18 1.8e-18 7.8e-19 6.3e-19 6.8e-19 7.7e-19 6.6e-19 7.3e-19
 1132    49     4  4.8e-18 3.0e-18 1.3e-18 1.1e-18 1.2e-18 1.3e-18 1.1e-18 1.3e-18
 1133    49     5  7.6e-18 4.8e-18 2.2e-18 1.8e-18 1.9e-18 2.1e-18 1.9e-18 2.1e-18
 1134    49     6  1.2e-17 7.5e-18 3.5e-18 2.8e-18 3.1e-18 3.4e-18 3.0e-18 3.3e-18
 1135    49     7  1.8e-17 1.2e-17 5.5e-18 4.5e-18 4.9e-18 5.5e-18 4.8e-18 5.3e-18
 1136    49     8  2.6e-17 1.8e-17 8.6e-18 7.1e-18 7.7e-18 8.6e-18 7.6e-18 8.4e-18
 1137    49     9  4.0e-17 2.7e-17 1.3e-17 1.1e-17 1.2e-17 1.4e-17 1.2e-17 1.3e-17
 1138    49    10  5.9e-17 4.1e-17 2.1e-17 1.7e-17 1.9e-17 2.1e-17 1.9e-17 2.1e-17
 1139    49    11  8.8e-17 6.2e-17 3.2e-17 2.7e-17 2.9e-17 3.2e-17 2.9e-17 3.2e-17
 1140    49    12  1.3e-16 9.3e-17 4.9e-17 4.2e-17 4.5e-17 5.0e-17 4.5e-17 5.1e-17
 1141    49    13  1.9e-16 1.4e-16 7.5e-17 6.5e-17 7.0e-17 7.7e-17 7.0e-17 7.8e-17
 1142    49    14  2.8e-16 2.1e-16 1.2e-16 1.0e-16 1.1e-16 1.2e-16 1.1e-16 1.2e-16
 1143    49    15  4.1e-16 3.1e-16 1.8e-16 1.5e-16 1.6e-16 1.8e-16 1.7e-16 1.9e-16
 1144    49    16  6.0e-16 4.6e-16 2.7e-16 2.3e-16 2.5e-16 2.8e-16 2.6e-16 2.9e-16
 1145    49    17  8.8e-16 6.9e-16 4.1e-16 3.6e-16 3.8e-16 4.2e-16 3.9e-16 4.4e-16
 1146    49    18  1.3e-15 1.0e-15 6.2e-16 5.5e-16 5.9e-16 6.4e-16 6.0e-16 6.7e-16
 1147    49    19  1.9e-15 1.5e-15 9.3e-16 8.3e-16 8.9e-16 9.7e-16 9.2e-16 1.0e-15
 1148    49    20  2.7e-15 2.2e-15 1.4e-15 1.3e-15 1.4e-15 1.5e-15 1.4e-15 1.6e-15
 1149    49    21  3.9e-15 3.3e-15 2.1e-15 1.9e-15 2.1e-15 2.2e-15 2.1e-15 2.4e-15
 1150    49    22  5.7e-15 4.8e-15 3.2e-15 2.9e-15 3.1e-15 3.4e-15 3.2e-15 3.6e-15
 1151    49    23  8.3e-15 7.1e-15 4.8e-15 4.4e-15 4.7e-15 5.0e-15 4.9e-15 5.5e-15
 1152    49    24  1.2e-14 1.0e-14 7.2e-15 6.6e-15 7.1e-15 7.6e-15 7.4e-15 8.3e-15
 1153    49    25  1.7e-14 1.5e-14 1.1e-14 1.0e-14 1.1e-14 1.1e-14 1.1e-14 1.3e-14
 1154    49    26  2.5e-14 2.2e-14 1.6e-14 1.5e-14 1.6e-14 1.7e-14 1.7e-14 1.9e-14
 1155    49    27  3.6e-14 3.3e-14 2.4e-14 2.2e-14 2.4e-14 2.6e-14 2.5e-14 2.8e-14
 1156    49    28  5.2e-14 4.7e-14 3.6e-14 3.4e-14 3.6e-14 3.8e-14 3.8e-14 4.3e-14
 1157    49    29  7.4e-14 6.9e-14 5.4e-14 5.1e-14 5.4e-14 5.7e-14 5.7e-14 6.4e-14
 1158    49    30  1.1e-13 1.0e-13 8.0e-14 7.6e-14 8.0e-14 8.5e-14 8.6e-14 9.6e-14
 1159    49    31  1.5e-13 1.5e-13 1.2e-13 1.1e-13 1.2e-13 1.3e-13 1.3e-13 1.4e-13
 1160    49    32  2.2e-13 2.1e-13 1.8e-13 1.7e-13 1.8e-13 1.9e-13 1.9e-13 2.2e-13
 1161    49    33  3.1e-13 3.1e-13 2.6e-13 2.5e-13 2.7e-13 2.8e-13 2.9e-13 3.2e-13
 1162    49    34  4.4e-13 4.4e-13 3.8e-13 3.7e-13 3.9e-13 4.1e-13 4.3e-13 4.8e-13
 1163    49    35  6.3e-13 6.4e-13 5.7e-13 5.5e-13 5.8e-13 6.1e-13 6.4e-13 7.1e-13
 1164    49    36  8.9e-13 9.2e-13 8.3e-13 8.2e-13 8.6e-13 9.0e-13 9.4e-13 1.1e-12
 1165    49    37  2.0e-12 1.9e-12 1.7e-12 1.6e-12 1.7e-12 1.8e-12 1.9e-12 2.3e-12
 1166    49    38  4.9e-12 5.5e-12 5.6e-12 5.3e-12 5.4e-12 5.2e-12 4.9e-12 5.0e-12
 1167    49    39  3.6e-12 4.0e-12 3.9e-12 4.0e-12 4.2e-12 4.6e-12 5.4e-12 6.6e-12
 1168    49    40  5.4e-12 5.9e-12 5.8e-12 5.6e-12 5.6e-12 5.4e-12 5.1e-12 4.9e-12
 1169    49    41  5.9e-12 6.9e-12 7.5e-12 8.3e-12 9.0e-12 9.9e-12 1.3e-11 1.7e-11
 1170    49    42  6.9e-12 7.3e-12 7.3e-12 6.9e-12 7.3e-12 7.2e-12 6.7e-12 6.4e-12
 1171    49    43  1.2e-11 1.4e-11 1.6e-11 1.8e-11 2.0e-11 2.1e-11 2.7e-11 3.5e-11
 1172    49    44  1.1e-11 1.3e-11 1.4e-11 1.5e-11 1.5e-11 1.6e-11 1.7e-11 1.8e-11
 1173    49    45  3.9e-11 4.3e-11 4.7e-11 4.7e-11 4.9e-11 5.0e-11 5.9e-11 7.2e-11
 1174    49    46  1.7e-11 2.3e-11 3.1e-11 3.4e-11 3.7e-11 3.7e-11 4.2e-11 5.0e-11
 1175    49    47  9.9e-11 1.1e-10 1.2e-10 1.3e-10 1.3e-10 1.3e-10 1.4e-10 1.7e-10
 1176    49    48  5.5e-11 6.3e-11 6.9e-11 7.2e-11 7.3e-11 7.4e-11 7.8e-11 8.3e-11
 1177    50     1  3.4e-19 2.0e-19 8.3e-20 6.6e-20 7.2e-20 8.2e-20 6.9e-20 7.7e-20
 1178    50     2  1.1e-18 6.5e-19 2.7e-19 2.2e-19 2.3e-19 2.6e-19 2.3e-19 2.5e-19
 1179    50     3  2.0e-18 1.2e-18 5.2e-19 4.2e-19 4.5e-19 5.1e-19 4.3e-19 4.8e-19
 1180    50     4  3.3e-18 2.1e-18 8.8e-19 7.1e-19 7.7e-19 8.7e-19 7.5e-19 8.3e-19
 1181    50     5  5.2e-18 3.3e-18 1.4e-18 1.2e-18 1.3e-18 1.4e-18 1.2e-18 1.4e-18
 1182    50     6  8.0e-18 5.1e-18 2.3e-18 1.9e-18 2.0e-18 2.3e-18 2.0e-18 2.2e-18
 1183    50     7  1.2e-17 7.9e-18 3.6e-18 3.0e-18 3.2e-18 3.6e-18 3.2e-18 3.5e-18
 1184    50     8  1.8e-17 1.2e-17 5.7e-18 4.7e-18 5.1e-18 5.7e-18 5.0e-18 5.6e-18
 1185    50     9  2.7e-17 1.8e-17 8.9e-18 7.4e-18 8.0e-18 9.0e-18 7.9e-18 8.8e-18
 1186    50    10  4.1e-17 2.8e-17 1.4e-17 1.2e-17 1.2e-17 1.4e-17 1.2e-17 1.4e-17
 1187    50    11  6.0e-17 4.2e-17 2.1e-17 1.8e-17 1.9e-17 2.2e-17 1.9e-17 2.2e-17
 1188    50    12  8.9e-17 6.3e-17 3.3e-17 2.8e-17 3.0e-17 3.3e-17 3.0e-17 3.4e-17
 1189    50    13  1.3e-16 9.5e-17 5.1e-17 4.3e-17 4.6e-17 5.1e-17 4.7e-17 5.2e-17
 1190    50    14  1.9e-16 1.4e-16 7.7e-17 6.6e-17 7.2e-17 7.9e-17 7.2e-17 8.0e-17
 1191    50    15  2.8e-16 2.1e-16 1.2e-16 1.0e-16 1.1e-16 1.2e-16 1.1e-16 1.2e-16
 1192    50    16  4.2e-16 3.2e-16 1.8e-16 1.6e-16 1.7e-16 1.8e-16 1.7e-16 1.9e-16
 1193    50    17  6.1e-16 4.7e-16 2.7e-16 2.4e-16 2.6e-16 2.8e-16 2.6e-16 2.9e-16
 1194    50    18  8.9e-16 6.9e-16 4.1e-16 3.6e-16 3.9e-16 4.3e-16 4.0e-16 4.5e-16
 1195    50    19  1.3e-15 1.0e-15 6.2e-16 5.5e-16 5.9e-16 6.5e-16 6.1e-16 6.8e-16
 1196    50    20  1.9e-15 1.5e-15 9.4e-16 8.4e-16 9.0e-16 9.8e-16 9.3e-16 1.0e-15
 1197    50    21  2.7e-15 2.2e-15 1.4e-15 1.3e-15 1.4e-15 1.5e-15 1.4e-15 1.6e-15
 1198    50    22  3.9e-15 3.3e-15 2.1e-15 1.9e-15 2.1e-15 2.2e-15 2.1e-15 2.4e-15
 1199    50    23  5.7e-15 4.8e-15 3.2e-15 2.9e-15 3.1e-15 3.4e-15 3.3e-15 3.6e-15
 1200    50    24  8.3e-15 7.1e-15 4.8e-15 4.4e-15 4.7e-15 5.1e-15 4.9e-15 5.5e-15
 1201    50    25  1.2e-14 1.0e-14 7.3e-15 6.7e-15 7.1e-15 7.7e-15 7.5e-15 8.4e-15
 1202    50    26  1.7e-14 1.5e-14 1.1e-14 1.0e-14 1.1e-14 1.1e-14 1.1e-14 1.3e-14
 1203    50    27  2.5e-14 2.2e-14 1.6e-14 1.5e-14 1.6e-14 1.7e-14 1.7e-14 1.9e-14
 1204    50    28  3.6e-14 3.3e-14 2.4e-14 2.3e-14 2.4e-14 2.6e-14 2.6e-14 2.9e-14
 1205    50    29  5.1e-14 4.7e-14 3.6e-14 3.4e-14 3.6e-14 3.9e-14 3.9e-14 4.3e-14
 1206    50    30  7.4e-14 6.9e-14 5.4e-14 5.1e-14 5.4e-14 5.7e-14 5.8e-14 6.5e-14
 1207    50    31  1.0e-13 1.0e-13 8.0e-14 7.6e-14 8.1e-14 8.6e-14 8.7e-14 9.7e-14
 1208    50    32  1.5e-13 1.5e-13 1.2e-13 1.1e-13 1.2e-13 1.3e-13 1.3e-13 1.4e-13
 1209    50    33  2.2e-13 2.1e-13 1.8e-13 1.7e-13 1.8e-13 1.9e-13 1.9e-13 2.2e-13
 1210    50    34  3.1e-13 3.1e-13 2.6e-13 2.5e-13 2.7e-13 2.8e-13 2.9e-13 3.2e-13
 1211    50    35  4.4e-13 4.4e-13 3.8e-13 3.7e-13 3.9e-13 4.1e-13 4.3e-13 4.8e-13
 1212    50    36  6.2e-13 6.4e-13 5.7e-13 5.5e-13 5.9e-13 6.1e-13 6.4e-13 7.1e-13
 1213    50    37  8.9e-13 9.2e-13 8.3e-13 8.2e-13 8.6e-13 9.0e-13 9.4e-13 1.1e-12
 1214    50    38  2.0e-12 1.9e-12 1.7e-12 1.6e-12 1.7e-12 1.8e-12 1.9e-12 2.3e-12
 1215    50    39  4.8e-12 5.5e-12 5.6e-12 5.3e-12 5.4e-12 5.2e-12 4.9e-12 5.1e-12
 1216    50    40  3.6e-12 4.0e-12 3.9e-12 4.0e-12 4.2e-12 4.6e-12 5.4e-12 6.6e-12
