Species_Name,Species_formula,Phase,Image,DfH_0K,DfH_298K,Uncertainty,Units,Relative_Molecular_Mass,ATcT_ID
Methyl hydrocarbonate,C(O)(OH)OCH3,"g, cis-cis",,-577.0,-592.55,0.87,kJ/mol,76.0514 ±0.0019,7456-87-3*1
"1,2,3-Trioxolane",O(OCH2CH2O),g,,-5.6,-23.3,1.5,kJ/mol,76.0514 ±0.0019,6669-36-9*0
1-Methylethylidene,CH3CCH3,"g, triplet",,326.9,313.7,1.2,kJ/mol,42.0797 ±0.0024,40852-89-9*1
1-Propenyl,CH3CHCH,"g, trans",,280.26,269.43,0.76,kJ/mol,41.0718 ±0.0024,6067-68-1*1
Bifluoride,[(HF)(F)]-,"g, singlet",,-481.8,-480.6,1.9,kJ/mol,39.005295 ±0.000070,*18130-74-0*2
Cyclopropynyl,CH(CC),g,,711.26,715.38,0.71,kJ/mol,37.0400 ±0.0024,119178-99-3*0
n-Butyl anion,[CH3CH2CH2CH2]-,g,,106.2,81.3,1.3,kJ/mol,57.1148 ±0.0033,79431-01-9*0
sec-Butyl anion,[CH3CH2CHCH3]-,g,,103.4,78.9,1.3,kJ/mol,57.1148 ±0.0033,79431-00-8*0
Iodide,I-,aq,,,-56.824,0.09,kJ/mol,126.905019 ±0.000030,20461-54-5*800
"1,2-Butadienyl anion",[CH3CHCCH]-,g,,255.7,246.2,1.1,kJ/mol,53.0830 ±0.0032,65114-67-2*0
Neopentyl,(CH3)3CCH2,g,,70.0,40.3,1.3,kJ/mol,71.1408 ±0.0041,3744-21-6*0
n-Hexane,CH3CH2CH2CH2CH2CH3,"cr,l",,-179.83,-198.49,0.32,kJ/mol,86.1754 ±0.0049,110-54-3*500
n-Nonane,CH3(CH2)7CH3,g,,-176.27,-228.06,0.48,kJ/mol,128.2551 ±0.0073,111-84-2*0
1-Hydroxyethylium,[CH3CHOH]+,"g, syn",,611.0,596.5,1.1,kJ/mol,45.0600 ±0.0017,18682-96-7*2
2-Hydroxyethyl,CH2CH2OH,"g, gauche-anti",,-10.84,-23.47,0.93,kJ/mol,45.0605 ±0.0017,4422-54-2*2
Ethoxy,CH3CH2O,g,,1.38,-12.04,0.42,kJ/mol,45.0605 ±0.0017,2154-50-9*0
Vinyl alcohol cation,[CH2CHOH]+,"g, anti",,778.6,767.4,1.3,kJ/mol,44.0520 ±0.0017,57239-63-1*2
1-Hydroxyethylidene,CH3COH,"g, syn singlet",,70.07,59.56,0.86,kJ/mol,44.0526 ±0.0017,30967-49-8*22
1-Hydroxyethenyl,CH2COH,g,,121.31,114.93,0.83,kJ/mol,43.0446 ±0.0016,81847-74-7*0
Oxiranylium,[CH2(CHO)]+,"g, singlet",,901.3,893.3,1.4,kJ/mol,43.0441 ±0.0016,57789-76-1*2
C=O=C,COC,"g, triplet",,653.0,657.3,1.5,kJ/mol,40.0208 ±0.0016,*12071-23-7*1
C=O=C,COC,"g, singlet",,721.9,726.2,1.6,kJ/mol,40.0208 ±0.0016,*12071-23-7*2
Oxoethylidene,HCC(O)H,"g, singlet",,275.4,272.6,1.7,kJ/mol,42.0367 ±0.0016,39920-84-8*2
Hydrogen bromide,HBr,aq,,,-120.5,0.12,kJ/mol,80.9119 ±0.0010,10035-10-6*800
Dihydroxymethanide,[CH(OH)2]-,"g, syn-syn",,-194.2,-203.2,1.8,kJ/mol,47.0339 ±0.0010,61192-32-3*2
Azide,[NNN]-,g,,193.68,190.17,0.91,kJ/mol,42.02077 ±0.00021,14343-69-2*0
1-Hydroperoxyethyl,CH3CHOOH,g,,39.7,26.1,1.3,kJ/mol,61.0599 ±0.0017,126898-98-4*0
Formic acid cation,[HC(O)OH]+,"g, syn",,721.99,714.9,0.24,kJ/mol,46.0248 ±0.0010,50614-05-6*1
Methyldioxirane,CH3CH(OO),g,,-40.46,-54.38,0.91,kJ/mol,60.0520 ±0.0017,70308-85-9*0
Formyloxidanyl,HC(O)O,"g, 2B2",,-121.96,-125.3,0.55,kJ/mol,45.0174 ±0.0010,16499-21-1*2
1H-Triazirin-1-yl,N(NN),g,,586.1,584.3,2.0,kJ/mol,42.02022 ±0.00021,912535-95-6*0
"1-Propene-1,2-diol",CH3C(OH)CHOH,"g, cis",,-311.3,-329.7,1.2,kJ/mol,74.0785 ±0.0025,7333-03-1*1
"1-Propene-1,2-diol",CH3C(OH)CHOH,"g, trans",,-293.1,-309.7,1.2,kJ/mol,74.0785 ±0.0025,7333-03-1*2
1-Methylethenyl hydroperoxide,CH2C(CH3)OOH,"g, anti-perp",,-63.4,-82.1,1.3,kJ/mol,74.0785 ±0.0025,177944-34-2*1
(Formyloxy)methyl,HC(O)OCH2,"g, anti",,-135.7,-143.9,1.3,kJ/mol,59.0440 ±0.0017,3122-12-1*2
Carboxymethyl,CH2C(O)OH,"g, anti",,-206.0,-215.3,1.2,kJ/mol,59.0440 ±0.0017,2887-46-9*2
Dimethylamide,[(CH3)2N]-,g,,123.1,104.7,1.4,kJ/mol,44.0763 ±0.0017,34285-60-4*0
Ethylideneamidogen,CH3CHN,g,,209.8,199.3,1.1,kJ/mol,42.0599 ±0.0016,28445-33-2*0
(Methyleneamino)methyl,CH2NCH2,g,,244.3,233.6,1.3,kJ/mol,42.0599 ±0.0016,56391-78-7*0
2-Aminoethenyl,CHCHNH2,"g, syn",,325.6,315.4,1.3,kJ/mol,42.0599 ±0.0016,176964-54-8*1
2-Aziridinyl,NH(CHCH2),"g, syn",,361.0,348.8,1.7,kJ/mol,42.0599 ±0.0016,*23838-09-7*1
Diazirenide,[HC(NN)]-,"g, singlet",,454.9,452.2,1.5,kJ/mol,41.03267 ±0.00082,130614-84-5*2
1H-Diazirin-3-yl,HN(NC),"g, doublet",,618.7,615.8,1.6,kJ/mol,41.03212 ±0.00082,324529-57-9*1
1H-Diazirene,CH(NHN),g,,405.2,398.1,1.4,kJ/mol,42.04006 ±0.00082,157-23-3*0
Dioxidenium,[HOO]+,g,,1110.87,1107.98,0.11,kJ/mol,33.00619 ±0.00060,12207-52-2*0
"1,1,2-Trichloroethane",CH2ClCHCl2,g,,-135.6,-147.3,1.1,kJ/mol,133.4033 ±0.0031,79-00-5*0
"1,1,1,2-Tetrachloroethane",CH2ClCCl3,g,,-144.4,-152.9,1.3,kJ/mol,167.8481 ±0.0039,630-20-6*0
Pentachloroethyl,CCl3CCl2,g,,28.9,27.0,1.3,kJ/mol,201.2849 ±0.0048,7094-17-9*0
Iodomethane,CH3I,l,,,-12.16,0.18,kJ/mol,141.93899 ±0.00083,74-88-4*590
Chloryl hydride,HCl(O)O,g,,197.7,191.2,1.6,kJ/mol,68.4594 ±0.0011,174365-32-3*0
Difluoromethylene,CF2,"g, triplet",,43.3,44.02,0.35,kJ/mol,50.00751 ±0.00080,2154-59-8*1
Trioxidanylium,[HOOO]+,"g, trans",,1070.7,1064.4,1.4,kJ/mol,49.00559 ±0.00090,74241-49-9*1
Ethyl iodide,CH3CH2I,l,,-9.4,-39.27,0.48,kJ/mol,155.9656 ±0.0016,75-03-6*500
"cis-1,2-Difluoroethene",CHFCHF,"g, cis",,-302.97,-309.73,0.83,kJ/mol,64.0341 ±0.0016,1630-77-9*0
Fluoroethynyl,CCF,g,,445.3,449.9,1.6,kJ/mol,43.0198 ±0.0016,22533-50-2*0
Fluoro(fluorooxy)methylene,FCOF,"g, cis",,-134.8,-136.0,1.3,kJ/mol,66.00691 ±0.00085,479587-30-9*2
Dibromophosgene,CBr2O,g,,-97.93,-113.86,0.37,kJ/mol,187.8181 ±0.0022,593-95-3*0
"1,3,5-Hexatriynyl",CCCCCCH,g,,1003.1,1010.6,2.3,kJ/mol,73.0721 ±0.0048,88053-50-3*0
Benzene,C6H6,"cr,l",,50.79,49.24,0.21,kJ/mol,78.1118 ±0.0048,71-43-2*500
Water anion,[(H)(OH)]-,"g, vdW ?",,31.3,29.8,3.1,kJ/mol,18.01583 ±0.00033,12259-30-2*100
o-Benzyne,C6H4,"g, ortho",,468.21,459.29,0.85,kJ/mol,76.0960 ±0.0048,462-80-6*0
m-Benzyne,C6H4,"g, meta singlet",,527.4,519.0,1.2,kJ/mol,76.0960 ±0.0048,1828-89-3*2
p-Benzyne,C6H4,"g, para singlet",,587.1,577.6,1.2,kJ/mol,76.0960 ±0.0048,3355-34-8*2
Cycloheptane,CH2(CH2CH2CH2CH2CH2CH2),g,,-72.4,-117.9,0.52,kJ/mol,98.1861 ±0.0057,291-64-5*0
Hydrogen difluoride,(F)(HF),"g, lin",,-198.5,-198.4,1.2,kJ/mol,39.004746 ±0.000070,12528-21-1*1
1-Oxopropyl,CH3CH2CO,"g, gauche",,-17.33,-29.82,0.93,kJ/mol,57.0712 ±0.0024,15843-24-0*2
Propyn-1-ol,CH3CCOH,g,,65.7,57.4,1.1,kJ/mol,56.0633 ±0.0024,6175-54-8*0
Formylethynyl,CCCHO,g,,468.5,470.4,1.3,kJ/mol,53.0394 ±0.0024,277743-00-7*0
2-Cyclopropen-1-one,OC(CHCH),g,,164.0,160.0,1.1,kJ/mol,54.0474 ±0.0024,2961-80-0*0
Formamide enol,NHCHOH,"g, anti-syn",,-130.6,-141.8,1.3,kJ/mol,45.04066 ±0.00088,60100-09-6*1
Cyanovinylidene,CCHCN,g,,581.8,584.3,1.2,kJ/mol,51.0468 ±0.0024,70277-81-5*0
Isocyanovinylidene,CCHNC,g,,697.1,700.4,1.4,kJ/mol,51.0468 ±0.0024,737788-76-0*0
Isocyanoethene,CH2CHNC,"g, singlet",,285.32,278.82,0.92,kJ/mol,53.0627 ±0.0024,14668-82-7*1
1-Cyanoethylidene,CH3CCN,"g, triplet",,437.6,433.8,1.4,kJ/mol,53.0627 ±0.0024,498544-34-6*1
Isocyanomethylene,HCNC,"g, singlet",,583.1,584.4,1.6,kJ/mol,39.0361 ±0.0016,78694-65-2*1
2-Methyl-2-cyclopropen-1-ylidene,CH3C(CHC),"g, singlet",,448.1,441.9,1.2,kJ/mol,52.0746 ±0.0032,185841-59-2*2
"1,2,3-Butatrien-1-ylium",[CH2CCCH]+,"g, triplet",,1425.9,1426.2,1.3,kJ/mol,51.0661 ±0.0032,81932-79-8*1
But-1-en-3-yn-1-ide,[HCCCHCH]-,"g, cis",,419.8,418.7,1.2,kJ/mol,51.0672 ±0.0032,119611-65-3*2
But-3-en-1-yn-1-ide,[CH2CHCC]-,"g, singlet",,326.8,323.7,1.3,kJ/mol,51.0672 ±0.0032,58870-47-6*2
Cyclobutenyl,CH2(CHCHCH),g,,337.3,324.8,1.2,kJ/mol,53.0825 ±0.0032,24669-29-2*0
Propargyl chloride,HCCCH2Cl,g,,186.7,180.8,1.3,kJ/mol,74.5086 ±0.0026,624-65-7*0
Dioxosilane,SiO2,g,,-277.9,-279.3,2.0,kJ/mol,60.08430 ±0.00067,7631-86-9*0
Dimethylsilane,CH3SiH2CH3,g,,-66.8,-88.3,1.1,kJ/mol,60.1704 ±0.0017,1111-74-6*0
Trimethylsilyl,Si(CH3)3,g,,47.5,25.4,1.9,kJ/mol,73.1891 ±0.0025,16571-41-8*0
Bromonium,[HBrH]+,g,,924.4,913.6,3.0,kJ/mol,81.9193 ±0.0010,36658-54-5*0
Benzvalene,((CHCH)(CH(CHCH)CH)),g,,404.4,386.7,1.2,kJ/mol,78.1118 ±0.0048,659-85-8*0
1-Ethynyl-2-propyn-1-ylidene,HCCCCCH,"g, triplet",,727.0,734.1,1.7,kJ/mol,62.0694 ±0.0040,882068-94-2*1
"1,2-Pentadien-4-yne",HCCCHCCH2,g,,442.3,436.67,0.97,kJ/mol,64.0853 ±0.0040,33555-85-0*0
"2,4-Pentadiynyl",HCCCCCH2,g,,568.81,568.06,0.98,kJ/mol,63.0773 ±0.0040,115236-82-3*0
2-Naphthalenyl,C6H4(CHCCHCH),g,,416.9,397.3,1.3,kJ/mol,127.1626 ±0.0080,10237-50-0*0
1-Naphthalenyl,C6H4(CCHCHCH),g,,418.2,398.6,1.3,kJ/mol,127.1626 ±0.0080,2510-51-2*0
Aniline,C6H5NH2,g,,108.83,86.82,0.72,kJ/mol,93.1265 ±0.0048,62-53-3*0
Thiodioxy,SOO,g,,199.2,197.0,1.3,kJ/mol,64.0648 ±0.0060,164034-62-2*0
Hydrogen oxide sulfide,H2OS,g,,50.8,44.8,1.3,kJ/mol,50.0813 ±0.0060,155348-09-7*0
"3,3-Dioxidedioxathiirane",OS(OO)O,"g, singlet C2v",,-257.1,-265.2,1.4,kJ/mol,96.0636 ±0.0061,1177730-84-5*2
Sulfate,[OS(O)(O)O]-2,g,,-599.7,-608.4,1.8,kJ/mol,96.0647 ±0.0061,14808-79-8*0
Chlorine difluoride,FClF,g,,-47.0,-48.2,1.4,kJ/mol,73.44951 ±0.00090,24801-48-7*0
Bromo hypobromite,BrOBr,g,,121.1,104.6,1.2,kJ/mol,175.8074 ±0.0020,21308-80-5*0
Diborane,BH2(HH)BH2,g,,52.8,36.9,1.3,kJ/mol,27.6696 ±0.0140,19287-45-7*0
(Z)-Difluorodiazene,FNNF,"g, cis",,78.5,72.9,2.1,kJ/mol,66.01029 ±0.00014,13812-43-6*2
(E)-Difluorodiazene,FNNF,"g, trans",,84.2,78.9,2.3,kJ/mol,66.01029 ±0.00014,13776-62-0*1
Dioxiranylidene,C(OO),g,,190.3,191.1,1.4,kJ/mol,44.00950 ±0.00100,138832-57-2*0
(E)-Diazene cation,[HNNH]+,"g, trans",,1132.57,1125.63,0.64,kJ/mol,30.02881 ±0.00020,59952-06-6*0
(Z)-Diazene,HNNH,"g, cis",,228.85,221.71,0.59,kJ/mol,30.02936 ±0.00020,15626-42-3*0
Chlorine chlorite,ClOClO,"g, gauche",,168.6,166.2,1.3,kJ/mol,102.9042 ±0.0019,105206-44-8*3
Hydrogen difluoride cation,[FFH]+,g,,1174.3,1171.3,1.5,kJ/mol,39.004198 ±0.000070,*126950-54-7*0
Oxofluoronium,[FO]+,g,,1342.66,1342.61,0.8,kJ/mol,34.99725 ±0.00030,12763-67-6*0
Dioxosilane,SiO2,"cr, quartz",,-906.76,-911.74,0.63,kJ/mol,60.08430 ±0.00067,7631-86-9*505
Aminomethylene,CHNH2,g,,245.9,238.1,1.5,kJ/mol,29.04126 ±0.00083,35430-17-2*0
Methyleneamidogen anion,[CH2N]-,g,,192.86,189.11,0.88,kJ/mol,28.03387 ±0.00082,28892-56-0*0
(Z)-Iminomethyl,HCNH,"g, cis",,294.54,291.06,0.89,kJ/mol,28.03332 ±0.00082,54980-11-9*0
Aminomethylidyne,CNH2,g,,372.0,368.4,1.1,kJ/mol,28.03332 ±0.00082,84654-89-7*0
Ethynylamidogen,HCCNH,g,,395.32,393.29,0.96,kJ/mol,40.0440 ±0.0016,73456-14-1*0
Methyleneoxonium,CH2OH2,g,,152.5,144.19,0.49,kJ/mol,32.04186 ±0.00090,177788-17-9*0
Hydroxymethylene anion,[HCOH]-,"g, trans",,147.1,144.1,1.6,kJ/mol,30.02653 ±0.00087,207914-87-2*1
Hydroxymethyliumylidene,[COH]+,g,,986.01,987.65,0.83,kJ/mol,29.01749 ±0.00086,60528-75-8*0
Isoformyl anion,[(CO)(H)]-,"g, vdW singlet ?",,55.7,58.4,1.8,kJ/mol,29.01859 ±0.00086,81747-63-9*1
Carbonic acid,C(O)(OH)2,g,,-602.25,-611.56,0.55,kJ/mol,62.0248 ±0.0012,463-79-6*0
Peroxyformic acid,HC(O)OOH,"g, trans",,-265.2,-273.2,1.5,kJ/mol,62.0248 ±0.0012,107-32-4*2
Oxygen cation monohydrate,[(HOH)O]+,g,,1153.4,1147.9,3.3,kJ/mol,34.01413 ±0.00062,*31748-17-1*0
Bifluoride,[FFH]-,"g, triplet",,-68.0,-67.6,1.6,kJ/mol,39.005295 ±0.000070,*18130-74-0*1
Deuterium atom,D,g,,219.804,221.717,0.0,kJ/mol,2.01410177800 ±0.00000000040,16873-17-9*0
"1,3-Propanediyl",CH2CH2CH2,"g, triplet Cs",,319.3,307.1,1.3,kJ/mol,42.0797 ±0.0024,32458-33-6*11
Propan-1-yl-3-ylidene,CH2CH2CH,"g, quartet",,554.4,545.7,1.3,kJ/mol,41.0718 ±0.0024,*50457-59-5*2
1-Propenylidene,CH3CHC,"g, singlet",,392.5,388.1,1.1,kJ/mol,40.0639 ±0.0024,70277-78-0*1
Hydroxyaminiumyl,[NOH]+,g,,1161.2,1158.2,1.4,kJ/mol,31.01353 ±0.00032,63559-88-6*0
Cycloprop-2-enyl,CH(CHCH),g,,490.33,485.78,0.57,kJ/mol,39.0559 ±0.0024,28933-84-8*0
2-Propen-1-yl-3-ylidene,CH2CHC,g,,556.66,554.4,0.89,kJ/mol,39.0559 ±0.0024,202744-74-9*0
Fluoride,F-,aq,,,-334.67,0.15,kJ/mol,18.99895178 ±0.00000050,16984-48-8*800
2-Propynylidyne anion,[CCCH]-,g,,540.78,545.55,0.75,kJ/mol,37.0406 ±0.0024,82893-67-2*0
t-Butylium,[(CH3)3C]+,g,,733.96,710.68,0.98,kJ/mol,57.1137 ±0.0033,14804-25-2*0
2-Hydrotrioxy cation,[OO(H)O]+,g,,1298.4,1291.8,1.4,kJ/mol,49.00559 ±0.00090,*74241-49-9*0
"1,2-Butadienylium",[CH3CHCCH]+,"g, singlet",,1099.2,1089.9,1.2,kJ/mol,53.0820 ±0.0032,*65114-67-2*2
Triiodide,[I3]-,aq,,,-51.56,0.79,kJ/mol,380.713959 ±0.000090,14900-04-0*800
"2-Hydroxy-1,1-dimethylethyl",(CH3)2CCH2OH,g,,-71.6,-96.5,1.4,kJ/mol,73.1137 ±0.0033,5723-75-1*0
2-Hydrotrioxy anion,[OO(H)O]-,g,,27.4,21.6,1.4,kJ/mol,49.00669 ±0.00090,*89965-38-8*0
Vinylcyclopentadienyl,CH2CHC(CHCHCHCH),g,,314.9,296.9,1.7,kJ/mol,91.1305 ±0.0056,1201826-88-1*0
Chlorosyl hydride,HClO,g,,141.9,139.0,1.7,kJ/mol,52.46004 ±0.00095,71572-35-5*0
"2,2-Dimethylbutane",CH3CH2C(CH3)3,g,,-145.28,-185.7,0.75,kJ/mol,86.1754 ±0.0049,75-83-2*0
n-Decane,CH3(CH2)8CH3,g,,-192.29,-249.04,0.75,kJ/mol,142.2817 ±0.0081,124-18-5*0
Ethanol,CH3CH2OH,"cr,l",,-269.6,-277.36,0.2,kJ/mol,46.0684 ±0.0017,64-17-5*500
Hydroxyamidogen,HNOH,"g, cis",,123.3,116.7,1.7,kJ/mol,32.02202 ±0.00034,13940-32-4*2
Hydroxyaminylium,[HNOH]+,"g, trans",,1019.5,1012.4,2.5,kJ/mol,32.02147 ±0.00034,66097-71-0*1
Vinyl alcohol cation,[CH2CHOH]+,"g, syn",,786.65,775.43,0.8,kJ/mol,44.0520 ±0.0017,57239-63-1*1
Vinoxy cation,[CH2CHO]+,"g, triplet",,1020.2,1013.2,1.5,kJ/mol,43.0441 ±0.0016,*35731-40-9*1
Vinoxide,[CH2CHO]-,g,,-153.09,-160.15,0.53,kJ/mol,43.0452 ±0.0016,35731-40-9*0
1-Hydroxyethenylium,[CH2COH]+,"g, singlet",,841.7,834.9,1.4,kJ/mol,43.0441 ±0.0016,41084-89-3*2
Oxiranyl anion,[CH2(CHO)]-,"g, singlet",,121.2,113.2,1.5,kJ/mol,43.0452 ±0.0016,72722-59-9*2
COC vdW,(CO)(C),"g, triplet",,589.7,598.4,1.5,kJ/mol,40.0208 ±0.0016,*12071-24-8*1
Aquachlorine cation,[ClOH2]+,g,,821.9,815.1,1.8,kJ/mol,53.46743 ±0.00096,142599-65-3*0
Oxirene,O(CHCH),"g, c-triplet",,389.7,385.5,1.4,kJ/mol,42.0367 ±0.0016,157-18-6*12
Oxywater,(H2O)O,g,,64.9,58.4,1.3,kJ/mol,34.01468 ±0.00062,171363-09-0*0
Methanediol,CH2(OH)2,"g, Cs gauche",,-368.89,-381.83,0.74,kJ/mol,48.0413 ±0.0010,463-57-0*2
Hydroxymethoxy anion,[CH2(OH)O]-,"g, syn",,-373.82,-383.77,0.85,kJ/mol,47.0339 ±0.0010,67899-36-9*2
Ethoxyoxoniumylidene,[CH3CH2OO]+,"g, triplet",,923.9,911.6,1.5,kJ/mol,61.0594 ±0.0017,268728-77-4*1
Ethaneperoxolate,[CH3CH2OO]-,"g, gauche",,-120.33,-136.95,0.68,kJ/mol,61.0604 ±0.0017,268728-75-2*3
Formyloxoniumylidene,[HC(O)O]+,g,,1017.4,1014.0,1.4,kJ/mol,45.0169 ±0.0010,54375-27-8*0
Dioxymethylene,HCOO,"g, trans",,364.0,361.7,2.4,kJ/mol,45.0174 ±0.0010,438586-67-5*1
Cyanate,[NCO]-,g,,-221.14,-221.36,0.53,kJ/mol,42.01739 ±0.00086,661-20-1*0
Oxazirinyl,C(NO),g,,450.1,450.9,1.5,kJ/mol,42.01684 ±0.00086,228850-18-8*0
"2-Propene-1,2-diol",CH2C(OH)CH2OH,"g, anti-gauche-gauche",,-295.3,-314.9,1.2,kJ/mol,74.0785 ±0.0025,44169-27-9*11
2-Methoxy-2-oxoethyl,CH2C(O)OCH3,"g, syn",,-202.9,-218.1,1.5,kJ/mol,73.0706 ±0.0025,54668-31-4*1
(Acetyloxy)methyl,CH3C(O)OCH2,"g, syn",,-200.1,-213.8,1.5,kJ/mol,73.0706 ±0.0025,2887-49-2*1
Glyoxal,OCHCHO,g,,-207.84,-213.4,0.55,kJ/mol,58.0361 ±0.0017,107-22-2*0
Trioxidaniumyl,[HOOOH]+,"g, t, t",,925.5,916.3,1.4,kJ/mol,50.01353 ±0.00091,161321-37-5*2
Dioxyamidogen,HNOO,"g, cis",,240.5,233.8,1.8,kJ/mol,47.01348 ±0.00061,71843-95-3*2
Dimethylmethyleneammonium,[(CH3)2NCH2]+,g,,697.1,672.1,1.3,kJ/mol,58.1018 ±0.0025,28149-27-1*0
2-Methanidylidynehydrazin-2-ium-1-ide,[HNNC]-,"g, singlet",,281.9,279.2,1.4,kJ/mol,41.03267 ±0.00082,*947408-74-4*2
2-Methanidylidynehydrazin-2-ium-1-ide,[HNNC]-,"g, c-triplet",,518.7,516.1,1.6,kJ/mol,41.03267 ±0.00082,*947408-74-4*12
Isocyanamide,NH2NC,g,,328.5,322.6,1.5,kJ/mol,42.04006 ±0.00082,4702-38-9*0
Trichloromethide,[CCl3]-,g,,-123.2,-122.6,2.0,kJ/mol,118.3693 ±0.0028,14478-07-0*0
"1,1,2,2-Tetrachloroethane",CHCl2CHCl2,g,,-146.7,-156.1,1.5,kJ/mol,167.8481 ±0.0039,79-34-5*0
"1,1,2,2-Tetrachloroethane",CHCl2CHCl2,"cr,l",,-172.9,-201.8,1.5,kJ/mol,167.8481 ±0.0039,79-34-5*500
Pentachloroethane,CHCl2CCl3,"cr,l",,,-201.9,2.5,kJ/mol,202.2928 ±0.0048,76-01-7*500
Trichloroethene,CHClCCl2,l,,,-48.8,1.5,kJ/mol,131.3874 ±0.0031,79-01-6*590
Tetrachloroethene,CCl2CCl2,l,,,-61.12,0.99,kJ/mol,165.8322 ±0.0039,127-18-4*500
Trichloroethene,CHClCCl2,g,,-10.9,-14.2,1.5,kJ/mol,131.3874 ±0.0031,79-01-6*0
Chlorine difluoride cation,[FClF]+,g,,998.8,996.6,1.7,kJ/mol,73.44896 ±0.00090,32629-46-2*0
Bromodichloromethane,CHCl2Br,g,,-34.8,-46.5,1.2,kJ/mol,163.8280 ±0.0022,75-27-4*0
Diiodomethane,CH2I2,g,,122.96,113.52,0.78,kJ/mol,267.83552 ±0.00081,75-11-6*0
Difluorodibromomethane,CF2Br2,g,,-359.8,-377.8,1.3,kJ/mol,209.8155 ±0.0022,75-61-6*0
Dichlorodibromomethane,CCl2Br2,g,,28.3,12.4,1.2,kJ/mol,242.7241 ±0.0028,594-18-3*0
Difluorobromomethane,CHF2Br,g,,-411.39,-424.59,0.47,kJ/mol,130.9194 ±0.0013,1511-62-2*0
"1,2-Difluoroethane",CH2FCH2F,g,,-434.39,-447.81,0.8,kJ/mol,66.0500 ±0.0016,624-72-6*0
Fluoro(fluorooxy)methylene,FCOF,"g, trans",,-37.5,-39.1,1.4,kJ/mol,66.00691 ±0.00085,479587-30-9*1
Benzenium,[CH2(CHCHCHCHCH)]+,g,,887.8,867.7,1.1,kJ/mol,79.1192 ±0.0048,26812-57-7*0
Dihydrogen fluoride anion,[HFH]-,"g, triplet",,133.2,131.9,1.6,kJ/mol,21.01483 ±0.00014,117339-92-1*1
Phenylium,[C6H5]+,"g, triplet",,1251.3,1238.2,1.6,kJ/mol,77.1034 ±0.0048,17333-73-2*1
Benzylium,[C6H5CH2]+,g,,929.57,910.08,0.51,kJ/mol,91.1299 ±0.0056,6711-19-9*0
Benzylidene,C6H5CH,"g, triplet",,473.0,457.7,1.3,kJ/mol,90.1225 ±0.0056,3101-08-4*1
Cycloheptatetraene,C(CHCHCHCHCHCH),"g, singlet",,418.7,403.1,1.3,kJ/mol,90.1225 ±0.0056,52783-93-4*2
"2,5-Norbornadien-7-yl",(CHCH)(CHCHCH)(CHCH),g,,480.2,459.2,1.7,kJ/mol,91.1305 ±0.0056,35430-15-0*0
Pentalene,CH(CHC(CHCHCH)CCH),g,,389.9,373.6,1.4,kJ/mol,102.1332 ±0.0064,250-25-9*0
Indenyl,C6H4(CHCHCH),g,,299.2,279.2,1.6,kJ/mol,115.1519 ±0.0072,71551-80-9*0
Benzoyl chloride,C6H5C(O)Cl,"cr,l",,,-157.1,0.26,kJ/mol,140.5667 ±0.0057,98-88-4*500
Benzoyl chloride,C6H5C(O)Cl,g,,-89.5,-104.8,1.2,kJ/mol,140.5667 ±0.0057,98-88-4*0
Hexafluorobenzene,C6F6,g,,-942.55,-947.55,0.87,kJ/mol,186.0546 ±0.0048,392-56-3*0
Chlorobenzene cation,[C6H5Cl]+,g,,942.6,928.68,0.61,kJ/mol,112.5561 ±0.0049,55450-32-3*0
Chlorobenzene,C6H5Cl,"cr,l",,,11.35,0.59,kJ/mol,112.5566 ±0.0049,108-90-7*500
m-Chlorophenyl,C6H4Cl,"g, meta",,321.8,311.0,1.6,kJ/mol,111.5487 ±0.0049,3474-40-6*0
p-Chlorophenyl,C6H4Cl,"g, para",,324.7,313.9,1.6,kJ/mol,111.5487 ±0.0049,2396-00-1*0
o-Chlorophenyl,C6H4Cl,"g, ortho",,328.9,318.2,1.6,kJ/mol,111.5487 ±0.0049,3474-42-8*0
Bromobenzene cation,[C6H5Br]+,g,,995.1,973.6,1.3,kJ/mol,157.0074 ±0.0049,55450-33-4*0
Iodobenzene,C6H5I,"cr,l",,113.7,113.8,1.1,kJ/mol,204.0084 ±0.0048,591-50-4*500
Nitrobenzene,C6H5N(O)O,g,,82.5,62.5,1.3,kJ/mol,123.1094 ±0.0049,98-95-3*0
3-Methylenecyclopropene cation,[CH2C(CHCH)]+,g,,1181.8,1174.7,1.2,kJ/mol,52.0740 ±0.0032,79105-72-9*0
1-Hydroxy-1-methylethyl cation,[CH3C(OH)CH3]+,g,,521.3,501.0,1.2,kJ/mol,59.0865 ±0.0025,*5131-95-3*0
1-Hydroxypropyl,CH3CH2CHOH,g,,-55.3,-73.0,1.1,kJ/mol,59.0871 ±0.0025,5723-77-3*0
1-Oxopropyl,CH3CH2CO,"g, eclips",,-19.1,-31.9,1.1,kJ/mol,57.0712 ±0.0024,15843-24-0*1
Peroxychlorous acid,HOOClO,"g, syn",,95.4,89.4,2.0,kJ/mol,84.4588 ±0.0013,177778-92-6*1
Peroxychlorite,[OClOO]-,"g, singlet",,-34.5,-33.1,1.8,kJ/mol,83.4514 ±0.0013,852472-63-0*2
"1,1-Dibromoethene",CH2CBr2,g,,130.6,110.2,1.6,kJ/mol,185.8453 ±0.0026,593-92-0*0
